city_name,state_id,acquittal,normalized
Auburn,AL,11.1,0.509174312
Birmingham,AL,16.6,0.76146789
Wilmington,DE,14.9,0.683486239
Washington,DC,9.1,0.417431193
Decatur,AL,15.9,0.729357798
Boca Raton,FL,11.3,0.518348624
Bonita Springs,FL,14.5,0.665137615
Boynton Beach,FL,14.8,0.678899083
Bradenton,FL,15.6,0.71559633
Cape Coral,FL,14.2,0.651376147
Dothan,AL,16.2,0.743119266
Clearwater,FL,14.5,0.665137615
Coconut Creek,FL,12.6,0.577981651
Coral Gables,FL,9.2,0.422018349
Coral Springs,FL,11.8,0.541284404
Davie,FL,11.9,0.54587156
Daytona Beach,FL,16.4,0.752293578
Deerfield Beach,FL,15.6,0.71559633
Delray Beach,FL,14.5,0.665137615
Deltona,FL,14.6,0.669724771
Doral,FL,9.4,0.431192661
Fort Lauderdale,FL,13.8,0.633027523
Fort Myers,FL,15.8,0.724770642
Gainesville,FL,11.1,0.509174312
Hialeah,FL,17.9,0.821100917
Hollywood,FL,14.3,0.655963303
Homestead,FL,15.5,0.711009174
Jacksonville,FL,13.9,0.637614679
Jupiter,FL,11.8,0.541284404
Kissimmee,FL,15.8,0.724770642
Lakeland,FL,15.7,0.720183486
Largo,FL,15.3,0.701834862
Lauderhill,FL,17,0.779816514
Margate,FL,15,0.688073394
Melbourne,FL,15.4,0.706422018
Miami,FL,16.1,0.73853211
Miami Beach,FL,11.5,0.527522936
Miami Gardens,FL,16.5,0.756880734
Miramar,FL,11.7,0.536697248
North Miami,FL,16.6,0.76146789
North Port,FL,13.8,0.633027523
Ocala,FL,16.5,0.756880734
Orlando,FL,12.6,0.577981651
Palm Bay,FL,15.6,0.71559633
Palm Beach Gardens,FL,11.9,0.54587156
Palm Coast,FL,14.7,0.674311927
Pembroke Pines,FL,12.4,0.568807339
Pensacola,FL,14.3,0.655963303
Pinellas Park,FL,14.9,0.683486239
Plantation,FL,11.7,0.536697248
Pompano Beach,FL,16,0.733944954
Port Orange,FL,15.2,0.697247706
Port St. Lucie,FL,14.2,0.651376147
St. Petersburg,FL,13.6,0.623853211
Sanford,FL,13.6,0.623853211
Sarasota,FL,14.4,0.660550459
Sunrise,FL,13.7,0.628440367
Tallahassee,FL,11.2,0.513761468
Tamarac,FL,14.6,0.669724771
Tampa,FL,13.9,0.637614679
Wellington,FL,11.2,0.513761468
Weston,FL,9.3,0.426605505
West Palm Beach,FL,14.2,0.651376147
Albany,GA,16.3,0.747706422
Alpharetta,GA,8,0.366972477
Athens,GA,11.8,0.541284404
Atlanta,GA,11.1,0.509174312
Augusta,GA,15.5,0.711009174
Brookhaven,GA,8.7,0.399082569
Columbus,GA,14.3,0.655963303
Johns Creek,GA,7.9,0.362385321
Macon,GA,15.7,0.720183486
Marietta,GA,11.5,0.527522936
Hoover,AL,9.9,0.45412844
Roswell,GA,9.1,0.417431193
Sandy Springs,GA,8.3,0.380733945
Savannah,GA,13.7,0.628440367
Huntsville,AL,13.2,0.605504587
Smyrna,GA,9.7,0.444954128
Stonecrest,GA,12.5,0.573394495
Valdosta,GA,14.8,0.678899083
Warner Robins,GA,13.1,0.600917431
Mobile,AL,15,0.688073394
Honolulu,HI,11.2,0.513761468
Montgomery,AL,15.3,0.701834862
Boise City,ID,10.2,0.467889908
Caldwell,ID,14.2,0.651376147
Idaho Falls,ID,12.9,0.591743119
Meridian,ID,9.7,0.444954128
Nampa,ID,13.4,0.614678899
Pocatello,ID,12.1,0.555045872
Arlington Heights,IL,9,0.412844037
Aurora,IL,11.6,0.532110092
Berwyn,IL,11.6,0.532110092
Bloomington,IL,10.6,0.486238532
Bolingbrook,IL,9.8,0.449541284
Champaign,IL,10.1,0.463302752
Chicago,IL,12,0.550458716
Cicero,IL,13.6,0.623853211
Decatur,IL,15.2,0.697247706
Des Plaines,IL,10.9,0.5
Elgin,IL,11.6,0.532110092
Evanston,IL,8.6,0.394495413
Hoffman Estates,IL,9,0.412844037
Joliet,IL,12.2,0.559633028
Mount Prospect,IL,9.8,0.449541284
Naperville,IL,7.9,0.362385321
Normal,IL,10.7,0.490825688
Oak Lawn,IL,11.9,0.54587156
Oak Park,IL,8.3,0.380733945
Orland Park,IL,10.2,0.467889908
Palatine,IL,9.2,0.422018349
Peoria,IL,13.2,0.605504587
Rockford,IL,15,0.688073394
Schaumburg,IL,9,0.412844037
Skokie,IL,10.4,0.47706422
Springfield,IL,13.2,0.605504587
Tuscaloosa,AL,12.9,0.591743119
Tinley Park,IL,10.4,0.47706422
Waukegan,IL,14.1,0.646788991
Wheaton,IL,8.4,0.385321101
Anderson,IN,17,0.779816514
Bloomington,IN,10.4,0.47706422
Carmel,IN,8.7,0.399082569
Elkhart,IN,15.8,0.724770642
Evansville,IN,15.2,0.697247706
Fishers,IN,8,0.366972477
Fort Wayne,IN,13.6,0.623853211
Gary,IN,21,0.963302752
Greenwood,IN,11.4,0.52293578
Hammond,IN,16.8,0.770642202
Indianapolis,IN,13.7,0.628440367
Kokomo,IN,15.8,0.724770642
Lafayette,IN,12.7,0.582568807
Muncie,IN,15,0.688073394
Noblesville,IN,10.4,0.47706422
South Bend,IN,15.6,0.71559633
Terre Haute,IN,15,0.688073394
Ames,IA,8.2,0.376146789
Ankeny,IA,7.5,0.344036697
Cedar Rapids,IA,9.9,0.45412844
Council Bluffs,IA,11.4,0.52293578
Davenport,IA,11.2,0.513761468
Des Moines,IA,11.3,0.518348624
Dubuque,IA,10.7,0.490825688
Iowa City,IA,8.3,0.380733945
Sioux City,IA,11.5,0.527522936
Waterloo,IA,12.2,0.559633028
West Des Moines,IA,7.3,0.334862385
Anchorage,AK,10.8,0.495412844
Kansas City,KS,16.2,0.743119266
Lawrence,KS,9.3,0.426605505
Lenexa,KS,8.3,0.380733945
Manhattan,KS,9.1,0.417431193
Olathe,KS,8.8,0.403669725
Overland Park,KS,8.3,0.380733945
Shawnee,KS,9.1,0.417431193
Topeka,KS,13,0.596330275
Wichita,KS,13.2,0.605504587
Bowling Green,KY,14.5,0.665137615
Lexington,KY,13.2,0.605504587
Louisville,KY,13.2,0.605504587
Owensboro,KY,17.2,0.788990826
Baton Rouge,LA,13.2,0.605504587
Bossier City,LA,14,0.642201835
Kenner,LA,14.2,0.651376147
Lafayette,LA,13.4,0.614678899
Lake Charles,LA,15.2,0.697247706
New Orleans,LA,13.7,0.628440367
Shreveport,LA,15.5,0.711009174
Portland,ME,10.3,0.472477064
Baltimore,MD,13.4,0.614678899
Bowie,MD,8.9,0.408256881
Frederick,MD,10.3,0.472477064
Gaithersburg,MD,9.3,0.426605505
Rockville,MD,8.5,0.389908257
Boston,MA,11.1,0.509174312
Brockton,MA,15.4,0.706422018
Cambridge,MA,7.6,0.348623853
Chicopee,MA,15.1,0.69266055
Fall River,MA,16.8,0.770642202
Haverhill,MA,12.2,0.559633028
Lawrence,MA,15.6,0.71559633
Lowell,MA,14.1,0.646788991
Lynn,MA,13.8,0.633027523
Malden,MA,12.3,0.564220183
Medford,MA,10.1,0.463302752
New Bedford,MA,17,0.779816514
Newton,MA,8.4,0.385321101
Peabody,MA,12.4,0.568807339
Quincy,MA,10.9,0.5
Revere,MA,13.7,0.628440367
Somerville,MA,8.6,0.394495413
Springfield,MA,17,0.779816514
Taunton,MA,14.5,0.665137615
Waltham,MA,9.5,0.435779817
Weymouth Town,MA,11.4,0.52293578
Worcester,MA,13.7,0.628440367
Ann Arbor,MI,9.1,0.417431193
Battle Creek,MI,16.1,0.73853211
Dearborn,MI,17,0.779816514
Dearborn Heights,MI,16.5,0.756880734
Detroit,MI,20.9,0.958715596
Farmington Hills,MI,11.6,0.532110092
Flint,MI,20.9,0.958715596
Grand Rapids,MI,13.7,0.628440367
Kalamazoo,MI,13.8,0.633027523
Kentwood,MI,13.5,0.619266055
Lansing,MI,14.8,0.678899083
Livonia,MI,12.2,0.559633028
Novi,MI,10.2,0.467889908
Pontiac,MI,19.8,0.908256881
Rochester Hills,MI,10.7,0.490825688
Royal Oak,MI,10,0.458715596
St. Clair Shores,MI,13.5,0.619266055
Southfield,MI,14.2,0.651376147
Sterling Heights,MI,13.9,0.637614679
Taylor,MI,16.2,0.743119266
Troy,MI,10.5,0.481651376
Warren,MI,16,0.733944954
Westland,MI,14.7,0.674311927
Wyoming,MI,13.9,0.637614679
Apple Valley,MN,8.9,0.408256881
Blaine,MN,9.8,0.449541284
Bloomington,MN,9.5,0.435779817
Brooklyn Park,MN,9.9,0.45412844
Burnsville,MN,9.7,0.444954128
Coon Rapids,MN,10.5,0.481651376
Duluth,MN,10.9,0.5
Eagan,MN,8.1,0.371559633
Eden Prairie,MN,7.6,0.348623853
Edina,MN,8,0.366972477
Lakeville,MN,8,0.366972477
Maple Grove,MN,7.8,0.357798165
Minneapolis,MN,9.7,0.444954128
Minnetonka,MN,8.3,0.380733945
Plymouth,MN,7.9,0.362385321
Rochester,MN,9.2,0.422018349
St. Cloud,MN,10.5,0.481651376
St. Paul,MN,10.3,0.472477064
Woodbury,MN,7.5,0.344036697
Gulfport,MS,15.9,0.729357798
Jackson,MS,15.3,0.701834862
Southaven,MS,12.3,0.564220183
Blue Springs,MO,11.3,0.518348624
Columbia,MO,10.5,0.481651376
Florissant,MO,12.9,0.591743119
Independence,MO,14.9,0.683486239
Joplin,MO,14.6,0.669724771
Kansas City,MO,13.6,0.623853211
Lee's Summit,MO,10.4,0.47706422
O'Fallon,MO,10.5,0.481651376
St. Charles,MO,12,0.550458716
St. Joseph,MO,15.2,0.697247706
St. Louis,MO,14.3,0.655963303
St. Peters,MO,10.9,0.5
Springfield,MO,14.9,0.683486239
Billings,MT,11.9,0.54587156
Great Falls,MT,13.5,0.619266055
Missoula,MT,10.1,0.463302752
Bellevue,NE,9.9,0.45412844
Grand Island,NE,11.6,0.532110092
Lincoln,NE,9.4,0.431192661
Omaha,NE,11,0.504587156
Carson City,NV,15.2,0.697247706
Henderson,NV,12.7,0.582568807
Las Vegas,NV,15.1,0.69266055
North Las Vegas,NV,14.9,0.683486239
Reno,NV,13.1,0.600917431
Sparks,NV,13.3,0.610091743
Manchester,NH,12.2,0.559633028
Nashua,NH,11.1,0.509174312
Bayonne,NJ,13.3,0.610091743
Burlington,NJ,15.5,0.711009174
Camden,NJ,19.3,0.885321101
Clayton,NJ,12.2,0.559633028
Clifton,NJ,12.4,0.568807339
East Orange,NJ,15.3,0.701834862
Egg Harbor City,NJ,16.7,0.766055046
Elizabeth,NJ,15.6,0.71559633
Glassboro,NJ,12.4,0.568807339
Hammonton,NJ,13.4,0.614678899
Hoboken,NJ,6.8,0.311926606
Jersey City,NJ,11.7,0.536697248
Lawnside,NJ,14.6,0.669724771
Millville,NJ,16.3,0.747706422
Newark,NJ,16.7,0.766055046
New Brunswick,NJ,14.2,0.651376147
Passaic,NJ,18.2,0.834862385
Paterson,NJ,17.8,0.816513761
Penns Grove,NJ,19.8,0.908256881
Perth Amboy,NJ,15,0.688073394
Plainfield,NJ,15.6,0.71559633
Pleasantville,NJ,16.5,0.756880734
Salem,NJ,21.8,1
Trenton,NJ,17.5,0.802752294
Union City,NJ,15.4,0.706422018
Vineland,NJ,15.8,0.724770642
West New York,NJ,13.8,0.633027523
Albuquerque,NM,12.8,0.587155963
Las Cruces,NM,13,0.596330275
Rio Rancho,NM,12.2,0.559633028
Santa Fe,NM,12.7,0.582568807
Albany,NY,11.2,0.513761468
Buffalo,NY,16.1,0.73853211
Hempstead,NY,13.7,0.628440367
Mount Vernon,NY,13.1,0.600917431
New Rochelle,NY,11,0.504587156
New York,NY,12.1,0.555045872
Rochester,NY,15.5,0.711009174
Schenectady,NY,13.8,0.633027523
Syracuse,NY,15,0.688073394
Utica,NY,17.7,0.811926606
White Plains,NY,10.5,0.481651376
Yonkers,NY,12.7,0.582568807
Asheville,NC,11.5,0.527522936
Burlington,NC,15.6,0.71559633
Cary,NC,8.4,0.385321101
Chapel Hill,NC,8.3,0.380733945
Charlotte,NC,10.3,0.472477064
Concord,NC,11.8,0.541284404
Durham,NC,11,0.504587156
Fayetteville,NC,12.9,0.591743119
Gastonia,NC,14.9,0.683486239
Greensboro,NC,12.1,0.555045872
Greenville,NC,11.2,0.513761468
High Point,NC,13.7,0.628440367
Huntersville,NC,7.9,0.362385321
Jacksonville,NC,9.4,0.431192661
Raleigh,NC,9.9,0.45412844
Rocky Mount,NC,15.9,0.729357798
Wilmington,NC,12,0.550458716
Winston-Salem,NC,13.2,0.605504587
Bismarck,ND,9.9,0.45412844
Fargo,ND,9.1,0.417431193
Grand Forks,ND,10,0.458715596
Akron,OH,15.9,0.729357798
Canton,OH,18.6,0.853211009
Cincinnati,OH,14.6,0.669724771
Cleveland,OH,18.7,0.857798165
Columbus,OH,11.7,0.536697248
Dayton,OH,18.1,0.830275229
Elyria,OH,15.5,0.711009174
Hamilton,OH,15.8,0.724770642
Kettering,OH,12.5,0.573394495
Lakewood,OH,11.1,0.509174312
Lorain,OH,17.6,0.80733945
Parma,OH,12.7,0.582568807
Springfield,OH,17.8,0.816513761
Toledo,OH,16.5,0.756880734
Youngstown,OH,20.4,0.935779817
Broken Arrow,OK,11.8,0.541284404
Edmond,OK,10.4,0.47706422
Enid,OK,15,0.688073394
Lawton,OK,14.1,0.646788991
Avondale,AZ,13.5,0.619266055
Midwest City,OK,14.4,0.660550459
Moore,OK,12,0.550458716
Norman,OK,11.8,0.541284404
Oklahoma City,OK,14.1,0.646788991
Tulsa,OK,14.6,0.669724771
Buckeye,AZ,13,0.596330275
Albany,OR,14.1,0.646788991
Casa Grande,AZ,17.6,0.80733945
Beaverton,OR,11.4,0.52293578
Bend,OR,12.1,0.555045872
Corvallis,OR,11.3,0.518348624
Chandler,AZ,10.7,0.490825688
Eugene,OR,13.7,0.628440367
Gresham,OR,15.9,0.729357798
Hillsboro,OR,11.4,0.52293578
Medford,OR,16.2,0.743119266
Portland,OR,12.6,0.577981651
Salem,OR,14.7,0.674311927
Springfield,OR,16.3,0.747706422
Tigard,OR,11.6,0.532110092
Allentown,PA,16.5,0.756880734
Bethlehem,PA,13.3,0.610091743
Erie,PA,15.7,0.720183486
Flagstaff,AZ,10.6,0.486238532
Lancaster,PA,15,0.688073394
Philadelphia,PA,14.8,0.678899083
Pittsburgh,PA,12.3,0.564220183
Reading,PA,18.7,0.857798165
Scranton,PA,15.6,0.71559633
Gilbert,AZ,9.8,0.449541284
Glendale,AZ,14.7,0.674311927
Goodyear,AZ,11.4,0.52293578
Lake Havasu City,AZ,16,0.733944954
Cranston,RI,12.7,0.582568807
Pawtucket,RI,15.8,0.724770642
Providence,RI,14.2,0.651376147
Mesa,AZ,14,0.642201835
Warwick,RI,13,0.596330275
Charleston,SC,9.9,0.45412844
Columbia,SC,11.7,0.536697248
Greenville,SC,11,0.504587156
Peoria,AZ,12.3,0.564220183
Mount Pleasant,SC,8.7,0.399082569
Phoenix,AZ,14.2,0.651376147
North Charleston,SC,14.2,0.651376147
Rock Hill,SC,12.4,0.568807339
Scottsdale,AZ,10.7,0.490825688
Rapid City,SD,11.1,0.509174312
Sioux Falls,SD,9.6,0.440366972
Bartlett,TN,12.8,0.587155963
Chattanooga,TN,16.2,0.743119266
Surprise,AZ,12.7,0.582568807
Clarksville,TN,13.3,0.610091743
Franklin,TN,10.5,0.481651376
Tempe,AZ,11,0.504587156
Hendersonville,TN,12.5,0.573394495
Jackson,TN,16.3,0.747706422
Johnson City,TN,14.8,0.678899083
Kingsport,TN,18.2,0.834862385
Knoxville,TN,15.3,0.701834862
Memphis,TN,17.4,0.798165138
Murfreesboro,TN,12.3,0.564220183
Nashville,TN,13.4,0.614678899
Tucson,AZ,14.5,0.665137615
Abilene,TX,13.1,0.600917431
Allen,TX,9.1,0.417431193
Amarillo,TX,13.7,0.628440367
Arlington,TX,13,0.596330275
Austin,TX,9.6,0.440366972
Baytown,TX,14.2,0.651376147
Beaumont,TX,14.1,0.646788991
Brownsville,TX,17.6,0.80733945
Bryan,TX,12.7,0.582568807
Carrollton,TX,11,0.504587156
Cedar Park,TX,8.9,0.408256881
College Station,TX,8.3,0.380733945
Conroe,TX,12.8,0.587155963
Corpus Christi,TX,13.7,0.628440367
Dallas,TX,13.2,0.605504587
Denton,TX,10.6,0.486238532
DeSoto,TX,12.3,0.564220183
Edinburg,TX,13.6,0.623853211
El Paso,TX,14.1,0.646788991
Euless,TX,11.5,0.527522936
Flower Mound,TX,8.5,0.389908257
Fort Worth,TX,13.9,0.637614679
Frisco,TX,8,0.366972477
Garland,TX,13.2,0.605504587
Georgetown,TX,11,0.504587156
Grand Prairie,TX,12.3,0.564220183
Grapevine,TX,10.8,0.495412844
Harlingen,TX,17.2,0.788990826
Houston,TX,13.3,0.610091743
Irving,TX,11.6,0.532110092
Killeen,TX,11.7,0.536697248
Laredo,TX,16.2,0.743119266
League City,TX,9.3,0.426605505
Lewisville,TX,10.5,0.481651376
Longview,TX,14.7,0.674311927
Lubbock,TX,12.6,0.577981651
McAllen,TX,14.5,0.665137615
McKinney,TX,10.1,0.463302752
Mansfield,TX,10.5,0.481651376
Mesquite,TX,13.3,0.610091743
Midland,TX,11.6,0.532110092
Mission,TX,14.8,0.678899083
Missouri City,TX,10.2,0.467889908
New Braunfels,TX,11.6,0.532110092
North Richland Hills,TX,12.1,0.555045872
Odessa,TX,12.9,0.591743119
Yuma,AZ,14.2,0.651376147
Pasadena,TX,14.3,0.655963303
Pearland,TX,9.2,0.422018349
Pflugerville,TX,10.1,0.463302752
