CityName,StateID,Beliefs,normalized_beliefs
Anchorage,AK,1220,0.63137194
Auburn,AL,NA,0
Birmingham,AL,NA,0
Decatur,AL,NA,0
Dothan,AL,NA,0
Hoover,AL,133.8,0.069243906
Huntsville,AL,NA,0
Mobile,AL,NA,0
Montgomery,AL,NA,0
Tuscaloosa,AL,NA,0
Conway,AR,490,0.253583812
Fayetteville,AR,465,0.240645862
Fort Smith,AR,983.6,0.509030689
Jonesboro,AR,706.2,0.3654712
Little Rock,AR,1520,0.786627335
North Little Rock,AR,850.5,0.440149045
Rogers,AR,497.4,0.257413445
Springdale,AR,NA,0
Avondale,AZ,296.2,0.153288827
Buckeye,AZ,153.4,0.079387259
Casa Grande,AZ,492.3,0.254774103
Chandler,AZ,234.7,0.121461471
Flagstaff,AZ,506.9,0.262329866
Gilbert,AZ,100.7,0.052114061
Glendale,AZ,348.2,0.180199762
Goodyear,AZ,214,0.110748849
Lake Havasu City,AZ,159.6,0.08259587
Mesa,AZ,390.8,0.202246028
Peoria,AZ,242,0.125239352
Phoenix,AZ,722.8,0.374061999
Scottsdale,AZ,165.6,0.085700978
Surprise,AZ,101.9,0.052735083
Tempe,AZ,474.2,0.245407028
Tucson,AZ,697.2,0.360813538
Yuma,AZ,390.2,0.201935517
Alameda,CA,206.3,0.10676396
Alhambra,CA,190.2,0.098431921
Aliso Viejo,CA,53.3,0.027583709
Anaheim,CA,320,0.165605755
Antioch,CA,582.7,0.301557729
Apple Valley,CA,466.1,0.241215132
Arcadia,CA,144.4,0.074729597
Bakersfield,CA,467.3,0.241836154
Baldwin Park,CA,247.7,0.128189205
Bellflower,CA,423.6,0.219220618
Berkeley,CA,508.7,0.263261398
Brentwood,CA,267.9,0.138643068
Buena Park,CA,298.2,0.154323863
Burbank,CA,182.3,0.094343528
Camarillo,CA,85.1,0.04404078
Carlsbad,CA,210.1,0.108730528
Carson,CA,482.2,0.249547172
Cathedral City,CA,264.9,0.137090514
Cerritos,CA,253.3,0.131087305
Chico,CA,589.2,0.304921596
Chino,CA,367.1,0.189980852
Chino Hills,CA,117.7,0.060911867
Chula Vista,CA,336.2,0.173989546
Citrus Heights,CA,358.2,0.185374942
Clovis,CA,222.6,0.115199503
Colton,CA,393.9,0.203850334
Compton,CA,1140.5,0.59022926
Concord,CA,418.8,0.216736532
Corona,CA,174.3,0.090203385
Costa Mesa,CA,275.7,0.142679708
Cupertino,CA,91.3,0.047249392
Daly City,CA,217.5,0.112560161
Davis,CA,156.1,0.080784557
Delano,CA,387.6,0.200589971
Diamond Bar,CA,128.1,0.066294054
Downey,CA,313.4,0.162190136
Dublin,CA,174.7,0.090410392
Eastvale,CA,133.8,0.069243906
El Cajon,CA,535,0.276872121
Elk Grove,CA,217.8,0.112715417
El Monte,CA,263.2,0.136210733
Encinitas,CA,137,0.070899964
Escondido,CA,354.3,0.183356622
Fairfield,CA,383.4,0.198416395
Folsom,CA,104.9,0.054287636
Fontana,CA,350.6,0.181441805
Fountain Valley,CA,94.6,0.048957201
Fremont,CA,169.7,0.087822802
Fresno,CA,NA,0
Fullerton,CA,267.2,0.138280805
Gardena,CA,542.6,0.280805258
Garden Grove,CA,291.5,0.150856492
Gilroy,CA,442.2,0.228846452
Glendale,CA,115.4,0.059721575
Glendora,CA,299.2,0.154841381
Hanford,CA,455.1,0.235522434
Hawthorne,CA,730.1,0.37783988
Hayward,CA,346.5,0.179319981
Hemet,CA,405.7,0.209957046
Hesperia,CA,490.4,0.253790819
Highland,CA,657.6,0.340319826
Huntington Beach,CA,192.8,0.099777467
Huntington Park,CA,784.9,0.406199865
Indio,CA,592.4,0.306577654
Inglewood,CA,612.2,0.31682451
Irvine,CA,68.8,0.035605237
Jurupa Valley,CA,300,0.155255395
Laguna Niguel,CA,65.3,0.033793924
La Habra,CA,231,0.119546654
Lake Elsinore,CA,262.9,0.136055478
Lake Forest,CA,78.6,0.040676914
Lakewood,CA,276.5,0.143093723
La Mesa,CA,292.2,0.151218755
Lancaster,CA,854.6,0.442270869
Livermore,CA,215.2,0.11136987
Lodi,CA,359.9,0.186254722
Long Beach,CA,507.5,0.262640377
Los Angeles,CA,741.1,0.383532578
Lynwood,CA,642.7,0.332608808
Madera,CA,515.2,0.266625265
Manteca,CA,251.5,0.130155773
Menifee,CA,160.5,0.083061636
Merced,CA,653.3,0.338094499
Milpitas,CA,128.3,0.066397557
Mission Viejo,CA,68.1,0.035242975
Modesto,CA,826.8,0.427883869
Montebello,CA,283.7,0.146819852
Monterey Park,CA,208.5,0.1079025
Moreno Valley,CA,408.6,0.211457848
Mountain View,CA,202.1,0.104590385
Murrieta,CA,68.2,0.035294726
Napa,CA,354.1,0.183253118
National City,CA,595.5,0.308181959
Newport Beach,CA,157.5,0.081509082
Norwalk,CA,410.2,0.212285877
Novato,CA,266,0.137659784
Oakland,CA,1298.5,0.671997102
Oceanside,CA,405.4,0.209801791
Ontario,CA,372.8,0.192930704
Orange,CA,128.7,0.066604565
Oxnard,CA,347.8,0.179992755
