City_Name,State_ID,CrimesOccurred,normalized_crimes
New York,NY,9.10%,0.4375
Los Angeles,CA,8.60%,0.413461538
Chicago,IL,10.40%,0.5
Miami,FL,14.80%,0.711538462
Dallas,TX,10.10%,0.485576923
Philadelphia,PA,11.50%,0.552884615
Houston,TX,11.20%,0.538461538
Atlanta,GA,8.90%,0.427884615
Washington,DC,5.40%,0.259615385
Boston,MA,8.10%,0.389423077
Phoenix,AZ,9.50%,0.456730769
Seattle,WA,4.80%,0.230769231
San Francisco,CA,5.90%,0.283653846
Detroit,MI,13.40%,0.644230769
San Diego,CA,6.60%,0.317307692
Minneapolis,MN,7.70%,0.370192308
Tampa,FL,10.40%,0.5
Denver,CO,7.40%,0.355769231
Brooklyn,NY,None,0
Queens,NY,None,0
Riverside,CA,7.60%,0.365384615
Baltimore,MD,9.00%,0.432692308
Las Vegas,NV,9.60%,0.461538462
Portland,OR,7.40%,0.355769231
San Antonio,TX,10.70%,0.514423077
St. Louis,MO,11.30%,0.543269231
Sacramento,CA,8.00%,0.384615385
Orlando,FL,10.10%,0.485576923
San Jose,CA,4.30%,0.206730769
Cleveland,OH,14.50%,0.697115385
Pittsburgh,PA,11.60%,0.557692308
Austin,TX,6.70%,0.322115385
Cincinnati,OH,11.80%,0.567307692
Kansas City,MO,10.20%,0.490384615
Manhattan,NY,None,0
Indianapolis,IN,None,0
Columbus,OH,9.80%,0.471153846
Charlotte,NC,8.10%,0.389423077
Virginia Beach,VA,4.20%,0.201923077
Bronx,NY,None,0
Milwaukee,WI,12.60%,0.605769231
Providence,RI,10.70%,0.514423077
Jacksonville,FL,10.70%,0.514423077
Salt Lake City,UT,6.80%,0.326923077
Nashville,TN,None,0
Richmond,VA,9.40%,0.451923077
Memphis,TN,13.50%,0.649038462
Raleigh,NC,7.60%,0.365384615
New Orleans,LA,13.30%,0.639423077
Louisville,KY,None,0
Oklahoma City,OK,10.00%,0.480769231
Bridgeport,CT,8.60%,0.413461538
