City_Name,State_Name,Vacant_houses,normalized_houses
New York,New York,0.068585807,0.170264603
Los Angeles,California,0.057598201,0.142987817
Chicago,Illinois,0.094951577,0.235717757
Miami,Florida,0.116745072,0.289820216
Dallas,Texas,0.085065555,0.211175659
Philadelphia,Pennsylvania,0.094554601,0.234732262
Houston,Texas,0.101896924,0.252959615
Atlanta,Georgia,0.116846406,0.290071778
Washington,District of Columbia,0.108218881,0.268653904
Boston,Massachusetts,0.073605743,0.182726619
Phoenix,Arizona,0.07569219,0.187906234
Seattle,Washington,0.061581611,0.152876652
San Francisco,California,0.085525345,0.21231709
Detroit,Michigan,0.179527803,0.445678654
San Diego,California,0.060586519,0.150406331
Minneapolis,Minnesota,0.057611867,0.143021743
Tampa,Florida,0.080549121,0.199963589
Denver,Colorado,0.080161169,0.199000496
Brooklyn,New York,None,0
Queens,New York,None,0
Riverside,California,0.039748641,0.098676197
Baltimore,Maryland,0.142438678,0.353604719
Las Vegas,Nevada,0.062038152,0.154010018
Portland,Oregon,0.065966083,0.163761126
San Antonio,Texas,0.091448779,0.227022044
St. Louis,Missouri,0.164913332,0.409398158
Sacramento,California,0.047821551,0.118717236
Orlando,Florida,0.090237411,0.224014817
San Jose,California,0.039220903,0.097366085
Cleveland,Ohio,0.156835335,0.389344491
Pittsburgh,Pennsylvania,0.113947811,0.282876001
Austin,Texas,0.075508634,0.187450555
Cincinnati,Ohio,0.120965152,0.300296585
Kansas City,Missouri,0.105381713,0.261610621
Manhattan,New York,None,0
Indianapolis,Indiana,None,0
Columbus,Ohio,0.080436918,0.199685045
Charlotte,North Carolina,0.064466286,0.160037872
Virginia Beach,Virginia,0.061591401,0.152900956
Bronx,New York,None,0
Milwaukee,Wisconsin,0.086577449,0.214928943
Providence,Rhode Island,0.075208951,0.186706591
Jacksonville,Florida,0.080074646,0.198785703
Salt Lake City,Utah,0.084844145,0.210626007
Nashville,Tennessee,None,0
Richmond,Virginia,0.085778337,0.212945144
Memphis,Tennessee,0.108369694,0.269028298
Raleigh,North Carolina,0.059847007,0.148570489
New Orleans,Louisiana,0.148137639,0.367752418
Louisville,Kentucky,0.120917292,0.300177772
Oklahoma City,Oklahoma,0.099426463,0.246826683
Bridgeport,Connecticut,0.078353772,0.194513624
Buffalo,New York,0.126373304,0.313722349
Fort Worth,Texas,0.068090765,0.169035659
Hartford,Connecticut,0.115417113,0.286523551
Tucson,Arizona,0.080428999,0.199665386
Omaha,Nebraska,0.065359067,0.162254205
El Paso,Texas,0.067492507,0.167550481
Honolulu,Hawaii,None,0
McAllen,Texas,0.091473649,0.227083784
Albuquerque,New Mexico,0.066012135,0.16387545
Birmingham,Alabama,0.156841247,0.389359167
Sarasota,Florida,0.198272014,0.49221125
Dayton,Ohio,0.161802058,0.401674405
Rochester,New York,0.085813626,0.213032749
Fresno,California,0.044955652,0.111602627
Allentown,Pennsylvania,0.059196835,0.146956434
Tulsa,Oklahoma,0.103081039,0.255899186
Cape Coral,Florida,0.152313049,0.378117893
Concord,California,0.03775448,0.093725682
Colorado Springs,Colorado,0.052953623,0.13145763
Charleston,South Carolina,0.126537513,0.314129998
Springfield,Massachusetts,0.063521391,0.157692166
Grand Rapids,Michigan,0.063713535,0.158169164
Mission Viejo,California,0.026013378,0.064578339
Albany,New York,0.122275197,0.303548778
Knoxville,Tennessee,0.098478914,0.244474388
Bakersfield,California,0.036421321,0.090416109
Ogden,Utah,0.064218833,0.159423569
Baton Rouge,Louisiana,0.135306634,0.335899384
Akron,Ohio,0.103191846,0.256174265
New Haven,Connecticut,0.091473272,0.227082848
Columbia,South Carolina,0.122733978,0.304687704
Mesa,Arizona,0.130010632,0.322752033
Palm Bay,Florida,0.066812014,0.165861153
Provo,Utah,0.056472608,0.140193527
Worcester,Massachusetts,0.060796621,0.150927911
Murrieta,California,0.03412209,0.084708256
Greenville,South Carolina,0.120060017,0.298049583
Wichita,Kansas,0.088608394,0.219970774
Toledo,Ohio,0.110341224,0.273922631
Staten Island,New York,None,0
Des Moines,Iowa,0.074924802,0.18600119
Long Beach,California,0.049122709,0.121947367
Port St. Lucie,Florida,0.071497408,0.177492667
Denton,Texas,0.068744082,0.170657522
Madison,Wisconsin,0.042301896,0.105014665
Reno,Nevada,0.068380688,0.169755394
Harrisburg,Pennsylvania,0.138876532,0.344761674
Little Rock,Arkansas,0.108734961,0.269935076
Oakland,California,0.05916994,0.146889667
Durham,North Carolina,0.06994258,0.173632799
Winston-Salem,North Carolina,0.088897806,0.220689241
Bonita Springs,Florida,0.354693211,0.880527641
Indio,California,0.17015994,0.422422888
Palm Coast,Florida,0.087619143,0.217514953
Chattanooga,Tennessee,0.099101635,0.246020296
Spokane,Washington,0.054473774,0.135231412
Syracuse,New York,0.111616835,0.277089342
Lancaster,Pennsylvania,0.06891329,0.171077581
Arlington,Texas,0.059638622,0.148053172
Stockton,California,0.040985939,0.101747795
Poughkeepsie,New York,0.100314982,0.249032436
Augusta,Georgia,None,0
Boise,Idaho,None,0
Oxnard,California,0.049032942,0.12172452
Scranton,Pennsylvania,0.131008265,0.325228662
Modesto,California,0.032912286,0.081704912
Kissimmee,Florida,0.115541653,0.286832722
Aurora,Colorado,0.048428035,0.120222835
Youngstown,Ohio,0.133321709,0.330971798
Fayetteville,Arkansas,0.100947597,0.250602906
Anaheim,California,0.042106026,0.104528417
Pensacola,Florida,0.112720493,0.279829178
Victorville,California,0.04891081,0.121421326
Lancaster,California,0.033679743,0.083610128
Greensboro,North Carolina,0.073695217,0.182948739
Corpus Christi,Texas,0.115880563,0.287674068
Fort Wayne,Indiana,0.073813223,0.183241689
Santa Ana,California,0.032318359,0.080230485
Flint,Michigan,0.172975504,0.42941254
Fayetteville,North Carolina,0.095066758,0.236003694
Jackson,Mississippi,0.147007569,0.364947013
Santa Rosa,California,0.049174964,0.12207709
Lansing,Michigan,0.093335043,0.231704703
San Juan,Puerto Rico,None,0
Lexington,Kentucky,None,0
Ann Arbor,Michigan,0.061357187,0.152319519
Henderson,Nevada,0.068674124,0.170483851
Huntsville,Alabama,0.082846072,0.205665781
Mobile,Alabama,0.128263184,0.318413985
Fort Collins,Colorado,0.054366492,0.134965084
Asheville,North Carolina,0.092215267,0.228924854
Santa Clarita,California,0.024100985,0.059830814
St. Paul,Minnesota,0.053535544,0.132902251
Antioch,California,0.032681161,0.081131143
Lakeland,Florida,0.102872083,0.255380452
Trenton,New Jersey,0.121875182,0.302555739
Lincoln,Nebraska,0.057487138,0.142712103
Springfield,Missouri,0.094624833,0.234906613
Anchorage,Alaska,0.078363115,0.194536818
Plano,Texas,0.050315011,0.124907262
Irvine,California,0.077238603,0.191745212
Davenport,Iowa,0.091240099,0.226503995
Rockford,Illinois,0.096409055,0.239335953
Newark,New Jersey,0.079331093,0.196939829
South Bend,Indiana,0.123101333,0.305599665
Shreveport,Louisiana,0.121674104,0.302056562
Round Lake Beach,Illinois,0.033491714,0.083143345
Savannah,Georgia,0.134236073,0.333241712
Myrtle Beach,South Carolina,0.253696117,0.629801858
Chula Vista,California,0.030990789,0.076934786
Eugene,Oregon,0.049886944,0.123844584
Canton,Ohio,0.108017983,0.268155174
Lubbock,Texas,0.096038545,0.23841616
Reading,Pennsylvania,0.082769464,0.205475602
Winter Haven,Florida,0.108391928,0.269083494
Salem,Oregon,0.046312916,0.114972042
St. Petersburg,Florida,0.108675806,0.269788223
Lafayette,Louisiana,0.109322236,0.271392989
Laredo,Texas,0.070565066,0.175178123
Jersey City,New Jersey,0.08760077,0.217469342
Concord,North Carolina,0.05329638,0.132308526
Columbus,Georgia,0.088413689,0.219487418
Chandler,Arizona,0.053926634,0.133873134
McKinney,Texas,0.061885943,0.153632158
Scottsdale,Arizona,0.157813759,0.391773433
Killeen,Texas,0.085625182,0.212564936
Tallahassee,Florida,0.104293882,0.258910075
Peoria,Illinois,0.126774288,0.314717794
Wilmington,North Carolina,0.113526326,0.281829663
Montgomery,Alabama,0.11802598,0.293000076
Gilbert,Arizona,0.046487182,0.115404658
Glendale,Arizona,0.059067369,0.146635034
North Las Vegas,Nevada,0.043229535,0.107317533
Chesapeake,Virginia,0.038669605,0.095997485
Barnstable,Massachusetts,None,0
Norfolk,Virginia,0.078304697,0.194391795
Fremont,California,0.038486375,0.095542615
Kennewick,Washington,0.045933875,0.114031071
Garland,Texas,0.047724583,0.118476512
Irving,Texas,0.060584595,0.150401555
Visalia,California,0.038810099,0.096346262
Atlantic City,New Jersey,0.223321416,0.554396514
Paradise,Nevada,0.147407329,0.365939419
Nashua,New Hampshire,0.035801629,0.08887772
Arlington,Virginia,0.077029013,0.191224904
Hialeah,Florida,0.027828332,0.069083971
York,Pennsylvania,0.108061208,0.26826248
Evansville,Indiana,0.109765083,0.272492358
Avondale,Arizona,0.058520149,0.145276558
Brownsville,Texas,0.090693295,0.225146551
Gulfport,Mississippi,0.118275957,0.293620645
Appleton,Wisconsin,0.043909661,0.109005949
Bremerton,Washington,0.084028118,0.208600216
Hickory,North Carolina,0.089264354,0.221599198
Tacoma,Washington,0.055119219,0.136833732
San Bernardino,California,0.039336629,0.097653375
College Station,Texas,0.130150465,0.32309917
Kalamazoo,Michigan,0.080109731,0.198872801
Thousand Oaks,California,0.031393489,0.077934491
Roanoke,Virginia,0.088556418,0.219841743
Fontana,California,0.019772793,0.049086056
Moreno Valley,California,0.026840611,0.066631949
North Port,Florida,0.114189831,0.283476817
Fargo,North Dakota,0.088152614,0.218839298
Green Bay,Wisconsin,0.046211972,0.114721448
Spring Valley,Nevada,0.073969916,0.18363068
Amarillo,Texas,0.098855049,0.245408145
Portland,Maine,0.093630235,0.232437519
Santa Barbara,California,0.073937395,0.183549947
Gainesville,Florida,0.091240646,0.226505353
Olympia,Washington,0.048709149,0.120920702
Frisco,Texas,0.062580636,0.155356737
Yonkers,New York,0.058226546,0.144547687
Norwich,Connecticut,0.104054558,0.258315952
Glendale,California,0.041562231,0.103178443
Huntington Beach,California,0.043911814,0.109011294
Deltona,Florida,0.051120308,0.126906416
Aurora,Illinois,0.042381658,0.105212674
Tempe,Arizona,0.085880958,0.213199901
Overland Park,Kansas,0.057453865,0.142629502
Grand Prairie,Texas,0.0479761,0.119100904
Sunrise Manor,Nevada,0.063450394,0.157515915
Waco,Texas,0.101209837,0.251253918
Salinas,California,0.027969823,0.069435223
Waterbury,Connecticut,0.08197636,0.203506717
Clarksville,Tennessee,0.070324857,0.174581803
Cedar Rapids,Iowa,0.068431681,0.169881985
Sioux Falls,South Dakota,0.061062943,0.151589056
Huntington,West Virginia,0.175183076,0.434892848
Ontario,California,0.035833067,0.088955765
Hagerstown,Maryland,0.101673492,0.252404944
Erie,Pennsylvania,0.104710602,0.259944585
Vancouver,Washington,0.046241856,0.114795635
Nampa,Idaho,0.038430745,0.095404514
Spartanburg,South Carolina,0.088581434,0.219903846
Gastonia,North Carolina,0.072089909,0.178963554
Fort Lauderdale,Florida,0.181607524,0.450841572
Lorain,Ohio,0.100487046,0.249459586
Murfreesboro,Tennessee,0.062093633,0.154147749
High Point,North Carolina,0.074430147,0.184773206
Newport News,Virginia,0.076568052,0.190080566
Rancho Cucamonga,California,0.030800446,0.076462259
Hemet,California,0.074640666,0.18529582
Santa Cruz,California,0.095069543,0.236010608
Danbury,Connecticut,0.053632084,0.133141912
Peoria,Arizona,0.084067097,0.208696982
Oceanside,California,0.064404566,0.159884652
Elk Grove,California,0.023376208,0.058031551
Pembroke Pines,Florida,0.052041537,0.129193372
Vallejo,California,0.043582365,0.108193435
Garden Grove,California,0.024710679,0.061344382
Enterprise,Nevada,0.076873243,0.190838204
Medford,Oregon,0.046176289,0.114632865
Cary,North Carolina,0.045773895,0.113633919
Marysville,Washington,0.032422346,0.080488633
Corona,California,0.029767667,0.07389838
Ocala,Florida,0.097334182,0.241632586
Fredericksburg,Virginia,0.073921971,0.183511657
Gainesville,Georgia,0.088745867,0.220312051
Manchester,New Hampshire,0.04549166,0.11293327
Bayamon,Puerto Rico,None,0
Champaign,Illinois,0.093491095,0.232092103
Alexandria,Virginia,0.061183663,0.151888744
Hayward,California,0.039278335,0.09750866
Springfield,Illinois,0.106632715,0.26471624
Lakewood,Colorado,0.046801518,0.116184999
Lafayette,Indiana,0.081374967,0.202013756
Frederick,Maryland,0.058392554,0.144959803
Lake Charles,Louisiana,0.102409325,0.254231653
Odessa,Texas,0.130693948,0.324448369
Tuscaloosa,Alabama,0.140061098,0.347702365
Warner Robins,Georgia,0.074493288,0.184929954
Palmdale,California,0.02678823,0.066501913
Hollywood,Florida,0.146641868,0.364039159
Midland,Texas,0.129853493,0.322361935
Leesburg,Florida,0.13433519,0.33348777
Port Arthur,Texas,0.143405158,0.35600401
Muskegon,Michigan,0.096885813,0.240519507
Macon,Georgia,None,0
Kansas City,Kansas,0.100353056,0.249126955
Sunnyvale,California,0.046758715,0.11607874
Pomona,California,0.030033216,0.074557606
Escondido,California,0.033641346,0.083514807
Pasadena,Texas,0.084116155,0.208818769
New Bedford,Massachusetts,0.061361801,0.152330973
Fairfield,California,0.037322085,0.09265226
Naperville,Illinois,0.03866445,0.095984687
Bellevue,Washington,0.057738684,0.143336567
Binghamton,New York,0.133365373,0.331080194
Elkhart,Indiana,0.082217461,0.204105251
Topeka,Kansas,0.101841676,0.252822462
Joliet,Illinois,0.045432998,0.112787641
Beaumont,Texas,0.116085693,0.288183304
Paterson,New Jersey,0.048388012,0.120123478
Merced,California,0.055737029,0.138367449
Pueblo,Colorado,0.064685995,0.160583301
Tyler,Texas,0.096804836,0.240318482
Torrance,California,0.036069758,0.089543352
Yuma,Arizona,0.190717178,0.473456333
Metairie,Louisiana,0.071145188,0.176618279
Surprise,Arizona,0.110859921,0.275210299
Columbia,Missouri,0.085896152,0.21323762
Athens,Georgia,None,0
Roseville,California,0.036306221,0.090130372
Thornton,Colorado,0.037135592,0.09218929
Miramar,Florida,0.035458404,0.088025662
Pasadena,California,0.059357916,0.147356318
Mesquite,Texas,0.088050314,0.218585338
Olathe,Kansas,0.033770745,0.083836041
Santa Maria,California,0.033911883,0.084186416
Houma,Louisiana,0.105537151,0.261996496
Carrollton,Texas,0.052354936,0.129971386
Grand Junction,Colorado,0.062756957,0.155794454
Charleston,West Virginia,0.14297912,0.354946369
Orange,California,0.032222293,0.079992001
Fullerton,California,0.039654044,0.098441359
Greeley,Colorado,0.062959128,0.156296345
Carolina,Puerto Rico,None,0
Las Cruces,New Mexico,0.073663334,0.182869589
Panama City,Florida,0.168414597,0.418090065
Harlingen,Texas,0.116722783,0.289764883
West Valley City,Utah,0.02921359,0.072522881
Hampton,Virginia,0.077381334,0.192099542
Warren,Michigan,0.059543579,0.147817228
Mauldin,South Carolina,0.049592894,0.123114603
Bloomington,Illinois,0.0756152,0.187715106
Coral Springs,Florida,0.042839862,0.106350168
Round Rock,Texas,0.050344647,0.124980834
Yakima,Washington,0.048747042,0.121014772
Sterling Heights,Michigan,0.032672988,0.081110853
Kent,Washington,0.042699921,0.106002764
Burlington,North Carolina,0.073648675,0.182833198
Bellingham,Washington,0.049216081,0.122179163
Santa Clara,California,0.064205937,0.159391554
Racine,Wisconsin,0.080836113,0.200676048
Greenville,North Carolina,0.158282942,0.392938182
Stamford,Connecticut,0.065176549,0.161801103
Elizabeth,New Jersey,0.043869609,0.10890652
Johnson City,Tennessee,0.086704674,0.21524478
Lynchburg,Virginia,0.105314495,0.261443752
Simi Valley,California,0.020397478,0.050636839
Fort Smith,Arkansas,0.100701763,0.249992622
Kenosha,Wisconsin,0.056650897,0.14063613
Norman,Oklahoma,0.090709951,0.2251879
South Lyon,Michigan,0.05116629,0.127020567
Boulder,Colorado,0.058847674,0.14608964
Abilene,Texas,0.104333307,0.259007948
Lehigh Acres,Florida,0.07731895,0.191944674
Pearland,Texas,0.047970398,0.119086749
Berkeley,California,0.09029065,0.224146983
Richardson,Texas,0.070128078,0.174093299
Redding,California,0.057929796,0.143811004
Arvada,Colorado,0.033475742,0.083103694
East Los Angeles,California,0.031943294,0.079299384
St. George,Utah,0.159742569,0.396561713
Billings,Montana,0.060824801,0.150997868
