city_name,state_id,Uninsured,normalized_uninsured
Auburn,AL,5.8,0.17
Birmingham,AL,14.4,0.41
Wilmington,DE,7.1,0.20
Washington,DC,4.1,0.12
Decatur,AL,13,0.37
Boca Raton,FL,9.8,0.28
Bonita Springs,FL,19.9,0.57
Boynton Beach,FL,18.6,0.53
Bradenton,FL,19.5,0.56
Cape Coral,FL,16.2,0.47
Dothan,AL,12.1,0.35
Clearwater,FL,17.3,0.50
Coconut Creek,FL,15.7,0.45
Coral Gables,FL,7.2,0.21
Coral Springs,FL,13.7,0.39
Davie,FL,12.4,0.36
Daytona Beach,FL,18.4,0.53
Deerfield Beach,FL,23.1,0.66
Delray Beach,FL,16.3,0.47
Deltona,FL,12.7,0.36
Doral,FL,18,0.52
Fort Lauderdale,FL,18.2,0.52
Fort Myers,FL,19.7,0.57
Gainesville,FL,9.3,0.27
Hialeah,FL,25.3,0.73
Hollywood,FL,19.8,0.57
Homestead,FL,24.2,0.70
Jacksonville,FL,13.7,0.39
Jupiter,FL,11.9,0.34
Kissimmee,FL,17.8,0.51
Lakeland,FL,12.5,0.36
Largo,FL,16.1,0.46
Lauderhill,FL,17.2,0.49
Margate,FL,19.2,0.55
Melbourne,FL,15.3,0.44
Miami,FL,23.2,0.67
Miami Beach,FL,22.5,0.65
Miami Gardens,FL,22.7,0.65
Miramar,FL,14.4,0.41
North Miami,FL,28.9,0.83
North Port,FL,18.1,0.52
Ocala,FL,16.5,0.47
Orlando,FL,16.7,0.48
Palm Bay,FL,14.4,0.41
Palm Beach Gardens,FL,9.1,0.26
Palm Coast,FL,19.2,0.55
Pembroke Pines,FL,11.1,0.32
Pensacola,FL,12.4,0.36
Pinellas Park,FL,13.7,0.39
Plantation,FL,13,0.37
Pompano Beach,FL,25.1,0.72
Port Orange,FL,13.5,0.39
Port St. Lucie,FL,15.3,0.44
St. Petersburg,FL,13.6,0.39
Sanford,FL,16.9,0.49
Sarasota,FL,23.3,0.67
Sunrise,FL,15,0.43
Tallahassee,FL,9.3,0.27
Tamarac,FL,14.7,0.42
Tampa,FL,13.2,0.38
Wellington,FL,10,0.29
Weston,FL,7,0.20
West Palm Beach,FL,19.2,0.55
Albany,GA,19.5,0.56
Alpharetta,GA,6.9,0.20
Athens,GA,15,0.43
Atlanta,GA,11.5,0.33
Augusta,GA,15,0.43
Brookhaven,GA,16.5,0.47
Columbus,GA,13.2,0.38
Johns Creek,GA,6.5,0.19
Macon,GA,15.1,0.43
Marietta,GA,20.5,0.59
Hoover,AL,6.2,0.18
Roswell,GA,13.8,0.40
Sandy Springs,GA,10.9,0.31
Savannah,GA,19.5,0.56
Huntsville,AL,11.6,0.33
Smyrna,GA,15,0.43
Stonecrest,GA,16.7,0.48
Valdosta,GA,19,0.55
Warner Robins,GA,15.4,0.44
Mobile,AL,13.4,0.39
Honolulu,HI,4,0.11
Montgomery,AL,12.2,0.35
Boise City,ID,10.3,0.30
Caldwell,ID,15.7,0.45
Idaho Falls,ID,10.8,0.31
Meridian,ID,9.3,0.27
Nampa,ID,15.2,0.44
Pocatello,ID,10.8,0.31
Arlington Heights,IL,5.2,0.15
Aurora,IL,11.9,0.34
Berwyn,IL,12.9,0.37
Bloomington,IL,4.7,0.14
Bolingbrook,IL,8.4,0.24
Champaign,IL,4.7,0.14
Chicago,IL,10.8,0.31
Cicero,IL,19.8,0.57
Decatur,IL,6.6,0.19
Des Plaines,IL,10.4,0.30
Elgin,IL,12.8,0.37
Evanston,IL,5.4,0.16
Hoffman Estates,IL,6.8,0.20
Joliet,IL,8.7,0.25
Mount Prospect,IL,9.2,0.26
Naperville,IL,3,0.09
Normal,IL,4.4,0.13
Oak Lawn,IL,8.9,0.26
Oak Park,IL,3.6,0.10
Orland Park,IL,5.8,0.17
Palatine,IL,11.2,0.32
Peoria,IL,6.7,0.19
Rockford,IL,7.9,0.23
Schaumburg,IL,6.8,0.20
Skokie,IL,9.9,0.28
Springfield,IL,5.2,0.15
Tuscaloosa,AL,8.3,0.24
Tinley Park,IL,4.7,0.14
Waukegan,IL,17.5,0.50
Wheaton,IL,4.1,0.12
Anderson,IN,12.6,0.36
Bloomington,IN,8.9,0.26
Carmel,IN,3.4,0.10
Elkhart,IN,15.9,0.46
Evansville,IN,11.6,0.33
Fishers,IN,3.2,0.09
Fort Wayne,IN,10.3,0.30
Gary,IN,13.2,0.38
Greenwood,IN,10.2,0.29
Hammond,IN,12.7,0.36
Indianapolis,IN,11.8,0.34
Kokomo,IN,9,0.26
Lafayette,IN,12.8,0.37
Muncie,IN,10.4,0.30
Noblesville,IN,5.8,0.17
South Bend,IN,12.3,0.35
Terre Haute,IN,10.4,0.30
Ames,IA,5.7,0.16
Ankeny,IA,3.7,0.11
Cedar Rapids,IA,5.2,0.15
Council Bluffs,IA,7.8,0.22
Davenport,IA,6.5,0.19
Des Moines,IA,7.8,0.22
Dubuque,IA,5.7,0.16
Iowa City,IA,6.5,0.19
Sioux City,IA,7.4,0.21
Waterloo,IA,7.6,0.22
West Des Moines,IA,3.3,0.09
Anchorage,AK,12.4,0.36
Kansas City,KS,21,0.60
Lawrence,KS,8.6,0.25
Lenexa,KS,7.7,0.22
Manhattan,KS,6.1,0.18
Olathe,KS,8,0.23
Overland Park,KS,6.3,0.18
Shawnee,KS,7.1,0.20
Topeka,KS,9.9,0.28
Wichita,KS,13.9,0.40
Bowling Green,KY,7.8,0.22
Lexington,KY,7.7,0.22
Louisville,KY,6.3,0.18
Owensboro,KY,6.6,0.19
Baton Rouge,LA,11.1,0.32
Bossier City,LA,10.7,0.31
Kenner,LA,16.8,0.48
Lafayette,LA,10.1,0.29
Lake Charles,LA,11.7,0.34
New Orleans,LA,10.6,0.30
Shreveport,LA,11.1,0.32
Portland,ME,7.9,0.23
